Conditions,                                              SYMPTOMS.       ,,,,,,,,,,,,,,,,,,,drug class,BRAND NAME,api strength unit - mg or ml or ,API - 1,API-1 Strength,API - 2 ,API-2 Strength,API - 3,API-3 Strength,FORM,                     BEFORE MEAL,,,                            AFTER MEAL,,,DOSAGE,                     DAYS,,NO. OF DAYS,QUANTITY OF MEDICINE,,REFER THE PATIENT TO A SPECIALIST,,             IS FOLLOW UP REQUIRED,,,     DATE OF FOLLOW UP,,    INSTRUCTIONS FOR APPLICATION,,,                                                                      CLINICAL ADVICE,,,,,,,,,,,,,,,,,
Ringworm,Red itchy or scaly patches present on skin called as plaque ,Patches that develop blisters or pustules with edges raised and defined ,Patches that may be red on the outside edges or resemble a ring ,"Scaly ring shaped area, typically on buttocks, trunk, arms and legs ",,,,,Physical examination ,Cell culture,Microscopy,,,,,,,,,Anti fungals,Mycospar,mg,Bifonazole,10,,,,,cream,,,,0,0,1,1,Yes,,2-3weeks,30g,,Yes,,No,,,,,before applying the cream wash and dry infected area,apply daily at night for 2-3weeks,Should be avoided in pregnancy or in allergic conditions,wear loose clothing,dry the areas thouroughly after bath,wash clothes and bedding during infection to help disinfect surrounding,,,,,,,,,,,"Dr.Simi Paknikar,MD",,https://drive.google.com/file/d/1Luk43tPcd8U-ChajGjEWZHHukqfokbU6/view?usp=sharing,,
Rotten Tooth ,Tooth ache,Sensitivity,Tender nerves,Cavity,,,,,Dental exam,,,,,,,,,,,Root canal/ cavity,Decapinol ,g,Delmopinol hydrochloride,0.20%,,,,,Toothpaste,,,,1,1,1,1,Yes,,30,1,,No,,No,,,,,Use this instead of regular toothpaste,,,"Brush after every meals, thrice a day",Avoid sweet food,,,,,,,,,,,,,,https://drive.google.com/file/d/1xMFNAcBP-S53enL66_crV4kCO0VLWpyV/view?usp=sharing,,
Ringing in Ears,Tinnitus,Sensitivity to loud sounds,Ear pain,,,,,,ENT examination,Examination of auditory meatus,,,,,,,,,,Hearing aid,Depival 25,mg,Nortriptyline,25,,,,,Tablet,,,,1,1,1,1,Yes,,14,1,,No,,No,,,,,"Comes in capsule or tablet, should be taken after or before meals thrice a day",,,Inform your doctor if you have a history of kidney or liver diseases.,,,,,,,,,,,,,,,https://drive.google.com/file/d/1xOcsOtfCZgvMI6wiDNwKD2p2KyOypdWF/view?usp=sharing,,
Scales on skin ,Itching,Redness,Pain,,,,,,Tissue biopsy followed with analyzing under microscope or fungal culture,Blood test,,,,,,,,,,"Azole,Anti-fungal",Poviral,g,Dexpanthenol,15,,,,,Cream,,,,1,,1,,Yes,,15,,,Yes,,No,,,,,Apply topically on the affected area twice each day,,,Wear loose clothes around the affected area,,,,,,,,,,,,,,,https://drive.google.com/file/d/1xPGjqcRZyNgqMuZT85w-8OKjvwL4fIMm/view?usp=sharing,,
Scalp Micropigmentation  ,alopecia,thinning hair,male and female pattern baldness,,,,,,dermatological examination,,,,,,,,,,,laser treatment,Cetrimide cream,g,Cetrimide,0.5%/1g,,,,,Cream,,,,,1,,,Yes,,30,As prescribed by the physician,,No,,No,,,,,Apply on the scalp before bathing,,,Leave it on the affected region of the scalp for 20 mins before bathing,Cetrimide 10% shampoo solution is also used,,,,,,,,,,,,,,https://drive.google.com/file/d/1xErCzAXjWYC75L5WQgrugEdWPfPAeENc/view?usp=sharing,,
Rashes,Hypersensitivity,Anaphylaxis,Itching,Redness,,,,,Physical exam,Epidermis test,Histamine estimation,,,,,,,,,Anti histaminic,Acvirall D,mg,Acyclovir,200,,,,,Tablet,,,,1,,1,,Yes,,7-10,,,Yes,,Yes,,,,,"Swallow orally, not to be taken on empty stomach",,,Consult your doctor before taking the dosage if you're breastfeeding,,Avoid driving after taking the dose as it might cause dizziness,,,,,,,,,,,Dr. R. P. Soni,,https://cdn.cdnparenting.com/fcprofile/1584294220451-_1584294201167.webp,,
School Phobia ,Fear and avoidance of school,Depression,Anxiety,Panic attack,,,,,Physical examination,Blood test,,,,,,,,,,"Antidepressants, Benzodiazepines",Cipralex,mg,Escitalopram Oxalate ,5,,,,,Tablet,1,,,,,,,Yes,,28 - 42,1 tablet per day. ,,yes,,yes,,,,,"As with all medicines, combining Cipralex tablets with alcohol is not advised.",,,Take the medicine daily without any gap,"Swallow it as a whole. Do not chew, crush or break it",,,,,,,,,,,,,,https://www.1mg.com/drugs/cipralex-10mg-tablet-356022,,
Scleroderma,hardening and tightening of patches of skin,Raynaud's disease,difficulty swallowing,,,,,,blood tests,physical exam ,,,,,,,,,,Steroid creams,Artin,mg,Penicillamine,250,,,,,Tablet,,,,1,1,1,2,Yes,,15,As prescribed by the physician,,Yes,,Yes,,,,,"Dosage of around 1.5-2g each day, 1 tablet after meals thrice",,,Maintenance dose of ~1 g is given everyday after the course of medication is over,,,,,,,,,,,,,,,https://www.medindia.net/drug-price/penicillamine/artin-250-mg.htm,,
Shingles,Pain,Sensitive to touch,Fluid -filled blisters that break open and crust over,Itching,Burning,Numbness ,Tingling,,Polymerase chain reaction (PCR),Direct Flouroscent antibody(DFA),Tzanck Smear,,,,,,,,,Anti- herpes viruse drugs,Zovirax,mg,Acyclovir,800,,,,,Pill,0,0,0,1,1,1,"take a tablet every 4 hours orally, 5 times a day for 7-10 days",Yes,,7-10 days,,,Yes,,Yes,,,,,take a tablet every 4 hours orally,,,"Take a cool bath or using cool, wet compresses on your blisters may help relieve the itching and pain.",Follow airborne and contact precautions until disseminated infection is ruled out.,"If the patient is immunocompetent and the rash is localized, follow standard precautions and cover all lesions until lesions are dry and crusted.",,,,,,,,,,,,,https://drive.google.com/file/d/1SoFmS1gmoESXCSR3VIt-nLXZkZ-q936r/view?usp=sharing,,
Short sightedness /Myopia ,sitting close to the TV,Complaining of headaches ,regularly rubbing their eyes,,,,,,visual acuity tests,retinoscopy,measurements of the pressure inside your eyes,checks to measure how well your eyes work together,,,,,,,,anticholinergics,Isopto Atropine,mg,Atropine sulfate monohydrate,10,,,,,Eye drops,0,0,0,1,0,1,2-4 times daily,Yes,,,,,Yes,,Yes,,,,,,,,"Get your eyes checked regularly, even if you see well. Use the right corrective lenses.","Reduce eyestrain : Look away from your screen or near-task work like reading, every 20 minutes - for 20 seconds - at something 20 feet away. Use good lighting for better vision.",Protect your eyes from the sun and prevent eye injuries.,"Control chronic health conditions like Diabetes and Hypertension, which can affect your vision.",,,,,,,,,,,,https://drive.google.com/file/d/1xPoLlUXyQj2Q3EilAdGQywKIAYRABS9H/view?usp=sharing,,
Shoulder Injury,Muscle tension ,Calcium buildup in the tendons of the shoulder.,Pain that is coming from somewhere else in your bod,Lack of movement after a shoulder dislocation,,,,,Neer's Test,Speed Test,Sulcus Test,Hawkins-Kennedy Test,,,,,,,,"NSAIDs, Pain relievers",Tylenol,mg,Acetaminophen,500,,,,,Pill,0,0,0,1,0,1,2 tablets per day (every 4-6 hours while symptoms last),,,,,,Yes,,Yes,,,,,,,,"OTC pain relievers such as Acetaminophen (Tylenol), Ibuprofen (Advil, Motrin IB) and Naproxen Sodium (Aleve) may help.",Rest. Avoid using your shoulder in ways that cause or worsen the pain.,Cold compress : Apply icepack to your painful shoulder for 15-20 mintues several times a day.,"Muscle relaxants, Heat therapy or Compression can also be considered for management of shoulder injury.",,,,,,,,,,,,https://drive.google.com/file/d/1yIjZuUT4_K2b_NdEXgjhG0UHP8pb0P1w/view?usp=sharing,,
Shoulder Problem,Reduced movement,Weakness of the shoulder/ upper arm,Pain deep in the shoulder joint,Sensation of pins and needles,,,,,X-ray,Ultrasound,CT and MRI ,,,,,,,,,"NSAIDs, Pain relievers",Advil,mg,Ibuprofen,200,,,,,Pill,0,0,0,1,1,1,"3-4 times daily, if needed",,,,,,Yes,,Yes,,,,,,,,"Wrap ice in cloth and put on the shoulder area for 15 minutes, then leave it off for 15 mintues. Do this 3-4 times a day for 2-3 days. ",Rest your shoulder for the next couple of days.,Slowly return to your regular activities. A physical therapist can help you do this safely.,Take Ibuprofen or Acetaminophen (Tylenol) to reduce inflammation and pain.,,,,,,,,,,,,https://drive.google.com/file/d/1xyyjVduKWayArBQo5tPwkQor7PD4i1-N/view?usp=sharing,,
Sinusitis,Post nasal drip,Nasal discharge,Facial pressure,Cough.,,,,,computed tomography (CT) scan.,Nasal Endoscopy,Swab Test,X-ray,,,,,,,,penicillin-like antibiotics,Amoxil,mg,Amoxicillin,500,,,,,Pill,0,0,0,1,0,1,2,,,,,,Yes,,Yes,,,,,,,,Clear the sinuses with oils. Practice nasal irrigation; use a neti pot.,Ease facial pain with warm compresses.,Use OTC medications.,Drink plenty of water to flush the virus out of your system; eat foods with antibacterial properties.,,,,,,,,,,,,https://drive.google.com/file/d/1yDhtzzVg7yM3r6LViujLtkrKWp5xMcnN/view?usp=sharing,,
Sinus Disease,Nasal inflammation.,"Thick, discolored discharge from the nose",Drainage down the back of the throat,Blocked or stuffy,,,,,Computed tomography (CT) scan.,Nasal Endoscopy,Swab Test,X-ray,,,,,,,,"Antibiotics, Nasal decongestants",Augmentin,mg,Amoxicillin,500,Clavulanate,125,,,Pill,0,0,0,1,0,1,2,,,,As prescribed by the physician ,,Yes,,Yes,,,,,,,,Use nasal rinses to cleanse the nasal passages.,Treat any allergies to reduce inflammation.,Avoid any allergens.,Wash hands regularly and keep the nose clean to reduce the spread of infection.,,,,,,,,,,,,https://drive.google.com/file/d/1xozv4_I8jHHMgr9gAMqlfQXsYezqPaCX/view?usp=sharing,,
Sinus Problems / Sinusitis,Post nasal drip,Nasal discharge,Facial pressure,Tiredness.,,,,,Computed tomography (CT) scan.,Nasal Endoscopy,Swab Test,X-ray,,,,,,,,"Antibiotics, Nasal decongestants",Amoxil,mg,Amoxicillin,500,,,,,tablet,0,0,0,1,0,1,2,,,,As prescribed by the physician ,,Yes,,Yes,,,,,,,,Clear the sinuses with oils. Practice nasal irrigation; use a neti pot.,Ease facial pain with warm compresses.,Use OTC medications.,Drink plenty of water to flush the virus out of your system; eat foods with antibacterial properties.,,,,,,,,,,,,https://drive.google.com/file/d/1yDhtzzVg7yM3r6LViujLtkrKWp5xMcnN/view?usp=sharing,,
Sinusitis,Facial pain,Stuffy nose.,Bad Breath,Ear Pain,,,,,"physical exam,",allergy test,Nasal Endoscopy,Computed tomography (CT) Scan,,,,,,,,Nasal corticosteroids,Flonase,mcg,Fluticasone,50,,,,,Nasal Spray,0,0,0,1,0,0,"2 sprays in each nostril, once daily for 6 months",Yes,,6 months,,,Yes,,Yes,,,,,,,,"Moisten your sinus cavities : Drape a towel over your head as you breathe in the vapor from a bowl of hot water. Keep the vapor directed toward your face. Take hot showers, breathing in the warm, moist air. This will ease the pain and help mucus drain.",Rinse your nasal passages. Use a specially designed squeeze bottle (Sinus Rinse) or neti pot.,Use a warm compress on your nose and forhead to relieve pressure.,Rest and drink plenty of fluids to help your body fight infection and speed recovery.,,,,,,,,,,,,https://drive.google.com/file/d/1xrs6nh9-id5A4lJGIAp2vi7GqsYIskY5/view?usp=sharing,,
Sirodhara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sixth Disease Roseola,Fever,Rash,Irritability in infants and children,Mild diarrhea,,,,,,,,,,,,,,,,Analgesic and NSAIDs,Tylenol,mg,Acetaminophen,160,,,,,Oral Suspension,0,0,0,1,1,1,5 ml every 4-6 hours as needed,,,,,,No,,Yes,,,,,,,,Lukewarm sponge baths can soothe the discomfort of fever.,Plenty of rest until the fever disappears.,"Plenty of clear fluids like water, giger ale, lemon-lime soda, clear broth.",,,,,,,,,,,,,https://pedcarecorner.com/Medical-Comprehensive/Medicine-Dosages/Acetaminophen-Dosing,,
Skin Allergies,Contact Dermatitis,Atopic eczma,Seborrheic dermatitis,Acne,,,,,Puncture/ scratch test,Radioallergosorbent test,ImmunoCAP test,,,,,,,,,"Antihistamines, Topical Antifungals, Corticosteroids, Calcineurin inhibitors",Claritin,mg,Loratidine,10,,,,,Mouth dissolving tablet,0,0,0,0,0,1,1,Yes,,,,,Yes,,Yes,,,,,Do not swallow the tablet whole. Allow it to dissolve in your mouth without chewing.,,,Avoid contact. Don't wear tight clothes - they can irritate your rash. Wear breathable fabrics like cotton.,Cool compress or shower can help calm a fiery rash. Gently pat dry and then moisturize.,Anti-itch cream like OTC hydrocortisone or calamine lotion.,Try a damp dressing for severe symptoms.,,,,,,,,,,Sophia Entringer ,,https://drive.google.com/file/d/1RhMZ1-FYy2zHQEuIz2Y9H1t_X6wQpsTY/view?usp=sharing,,
Skin Allergy,Skin rash,Skin redness,Scaly skin,Hyperpigmentation,,,,,Puncture/ scratch test,Radioallergosorbent test,ImmunoCAP test,,,,,,,,,"Antihistamine, Corticosteroid",Levocet,mg,Levocetirizine,5,,,,,Pill,0,0,1,0,0,0,5mg with or without food once a day,Yes,,15,,,Yes,,Yes,,,,,"Do not crush, break or chew the tablet. Swallow the whole pill.",Take same time everyday,,Do not consume alcohol when under the treatment regimen of this medicine.,Apply anti-itch cream like OTC hydrocortisone or calamine lotion.,Levocet 5mg Tablet should be used with caution in patients with kidney disease. Dose adjustment of Levocet 5mg Tablet may be needed.,,,,,,,,,,,Dr. Amol,,https://drive.google.com/file/d/1WhJYqo4GreA_g2qno-yNDUPAapkg7_J5/view?usp=sharing,,
Rough Skin,,,,,,,,,,,,,,,,,,,,"Antibiotics, Antifungal, Moisturizer",Episoft AC,g,,75,,,,,Lotion,1,0,0,0,0,0,Apply daily to the face and body as often as needed.,Yes,,,,,No,,No,,,,,Follow the directions on the label or as advised by your doctor. Do not use in more or lesser quantities or for a longer period of time than indicated.,Apply daily to the face and body as often as needed.,Apply a minimal amount of topical emollient to the afflicted region and gently massage it in.,Do not apply if you are allergic to it.,,,,,,,,,,,,,Dr. Mohan Patil,,https://docs.google.com/spreadsheets/d/1xCqvuUxwFMMX6Tyf1WdTy2wuTZJ2dr6Usyveq9yaC6M/edit?usp=sharing,,
Skin Disease,Shingles,Hives,Rosaceae,Ichthyosis,,,,,Patch test,skin biopsy,Tzanck testing,,,,,,,,,"Antibiotics, Antifungal",Seriva,% w/w,Sertaconazole nitrate,2,,,,,Cream,1,0,0,0,0,0,Apply to the affected area.,Yes,,,,,Yes,,Yes,,,,,Do not take orally. Seriva should only be applied to the affected area on the skin.,"Unless you are treating a hand infection, wash your hands before and after applying this topical.",,This medicine is for external use only.,"Avoid getting this medication in your eyes, nose, or mouth.",Stop applying the cream if you find any type of hypersensitivity ractions.,,,,,,,,,,,Dr. Rohan Patil,,https://drive.google.com/file/d/1WppcSVqRXxJ8yPvfrzWaflxJYNxlS_-S/view?usp=sharing,,
Skin disease Psoriasis,Red patches of skin covered with thick,Small scaling spots,Dry cracked skin that may bleed or itch,Swollen and stiffed joints,silvary scales,,,,Skin biopsy,Blood test,Dermatological examination,,,,,,,,,"Corticosteroids, Vitamin D supplements, Antirheumatics",Otezla,mg,Apremilast,30,,,,,Pill,0,0,0,1,0,1,10-30 mg,Yes,,,,,Yes,,Yes,,,,,"Do not crush, break or chew the tablet. Swallow the whole pill.",,,"Tell your doctor or pharmacist about your medical history, especially if you have renal illness or mental/mood disorders, before using this drug (such as depression).",Inform the doctor or pharmacist if you have any allergic reactions.,Keep track of your body weight while taking this medication and notify your doctor if you lose a significant amount of weight.,,,,,,,,,,,,,https://www.mayoclinic.org/drugs-supplements/apremilast-oral-route/description/drg-20095277,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin Disorder,Raised bumps,Scaly/ rough skin,open sores or lesion,Dry cracked skin,rash,discoloured patches,ulcers,,Skin biopsy,Diascopy,Patch testing,,,,,,,,,"Keratolytic agents, antifungal, antibiotics",Ureacin-10,%,Urea,10,,,,,Cream,1,0,0,0,0,1,Apply 1 to 3 times a day or as directed by your doctor.,Yes,,10,,,Yes,,Yes,,,,,"While the skin is still moist, apply urea cream immediately after washing, bathing, or showering.","Apply urea cream to your skin in a downward manner, in the direction of hair growth, and gently massage it in. Rubbing should be avoided.",,"Rinse with water if this drug goes into your eyes, nose, mouth, rectum, or vagina.",Seek medical help if you face any allergic reactions.,,,,,,,,,,,,Dr. Amol,,https://drive.google.com/file/d/1WhJYqo4GreA_g2qno-yNDUPAapkg7_J5/view?usp=sharing,,
Skin Flap,Sunken skin above the bone defect,headache,focal deficits,seizures,mental changes,,,,Pinprick test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.mountsinai.org/health-library/surgery/skin-graft,,
Skin Growth,Lumps,cysts,warts,lymphoma,,,,,Skin biopsy,Skin examination,,,,,,,,,,anti acne,Nadoxin A gel,gm,,,,,,,Ointment,0,0,0,0,0,0,Apply as recommended,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,Dr. Anuj Saini,,https://www.1mg.com/drugs/nadoxin-a-gel-130146,,
Skin hydration,,,,,,,,,,,,,,,,,,,,"Hyaluronic acid, moisturizer",Episoft AC,g,,75,,,,,Lotion,1,0,0,0,0,0,Apply daily to the face and body as often as needed.,Yes,,,,,Yes,,No,,,,,Follow the directions on the label or as advised by your doctor. Do not use in more or lesser quantities or for a longer period of time than indicated.,Apply daily to the face and body as often as needed.,Apply a minimal amount of topical emollient to the afflicted region and gently massage it in.,Apply a minimal amount of topical emollient to the afflicted region and gently massage it in.,"Avoid getting this medication in your eyes, nose, or mouth.",Stop applying the lotion if you find any type of hypersensitivity ractions.,,,,,,,,,,,Dr. Mohan Patil,,https://drive.google.com/file/d/1WudCz1sqeriyngULy_tKLIlku5649yzC/view?usp=sharing,,
Skin infections,Pus or fluid leaking out of cut,pimple or yellowish crust,Pain,swelling ,fever,redness ,sores,,Skin culture,Skin biopsy,blood test,,,,,,,,,"Oral antibiotic, antifungal cream",Minocidox,g,Minocycline,100,,,,,Pill,0,0,0,1,0,0,1 pill after meal in the morning,Yes,,30,,,Yes,,Yes,,,,,"Do not crush, break or chew the tablet. Swallow the whole pill.",,,Consult your doctor if you are pregnant.,Minocidox 100mg Tablet should be used with caution in patients with severe kidney and liver disease.,Consult doctor if you face allergic reactions.,,,,,,,,,,,Dr. Rohan Patil,,https://drive.google.com/file/d/1WqARjTdyZtwl5Kk5W-P-quPSVzKUFDH3/view?usp=sharing,,
Skin needling,Irritation,Bruising,Peeling,bleeding ,infection,,,,Nerve Conduction Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin Peeling, Dry skin and irritation,Skin discolouration,Swelling/ Bleeding,Blisters or sores,,,,,Physical Exam and medical history,surgical removal and microscopic evaluation (biopsy) of affected tissue,,,,,,,,,,Antiinflammatory & Painkiller,Advil,mg,ibuprofen,200,,,,,pill,0,0,0,1,1,1,3 times daily,yes,,,,,no,,no,,,,,,,,Do not try to peel it off with your hands,keep your skin moisturized,use a sunscrreen with SPF 30 or higher,use alovera gel and petrolleum jelly,,,,,,,,,,,,https://www.medicalnewstoday.com/articles/322771,,
Skin Pigmentation,"(Albinism) reduced amount of melanin pigment in the skin, hair, and eyes.",(Melasma) Dark brown to gray-brown,"Pigment loss after an ulcer, blister, burn, or infection, the skin does not replace some of the pigment in that area","(Vitiligo) smooth, white patches on the skin",,,,,Physical Exam and medical history,,,,,,,,,,,"tyrosinase inhibitor,corticosteroid,hydroquinone",Melalite forte,g,hydroquinone,4%,,,,,cream,0,0,0,0,0,1,twice ,yes,,,,,yes,,no,,,,,wash your hands before applying,,,SPF 30 sunscreen,use vitamin c serum and healthy diet also rich in vitC ,Melasama-TRIMULA cream is effective,,,,,,,,,,,,,"https://shineskinandbody.com.au/tyrosinase-inhibitors-what-are-they-and-why-everyone-should-be-on-one/#:~:text=Tyrosinase%20Inhibitor%20products%20will%20reduce,of%20pigment%20in%20the%20skin.",,https://www.medindia.net/drug-price/hydroquinone/melalite-forte.htm
Sleep Apnea,Loud snoring,Episodes in which you stop breathing during sleep,Difficulty staying asleep (insomnia)/ Excessive daytime sleepiness (hypersomnia),Difficulty paying attention while awake,,,,,Nocturnal polysomnography,Home sleep tests,,,,,,,,,,"benzodiazepines, barbiturates",Ativan 2mg,mg,lorazepam,2,,,,,pill,0,0,0,1,0,1,2/3 daily,,,,,,yes,,yes,,,,,do not take it before driving,,,Lose weight ,can use CPAP(Continuous Positive Airway Pressure) at night,change sleep positions,stop smoking and drinking aclohol,,,,,,,,,,,,https://www.rxlist.com/sleep_apnea_medications/drugs-condition.htm,https://www.mayoclinic.org/diseases-conditions/sleep-apnea/diagnosis-treatment/drc-20377636,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scabies,bumps,itching,redness,skin burrow,,,,,physcial examination,scratch test,,,,,,,,,,scabicide(pyrethrin),Perin,% w/w,permethrin,5,,,,,cream,1,0,0,0,0,0,only once after infection (if needed again wait for atleast 7 dyas),no,,1,,,yes,,yes,,,,,apply after bath,wash your body thourougly 8-14 hours after applying,,keep the skin dry and clean,Antibiotics are recommended if there are signs of infection ,contact precaution is recommended,wash hands if you come in contact with patient to prevent transmission,,,,,,,,,,,,https://drive.google.com/file/d/1x7tXefEbscQ8nP3uWpgYCSUcRvisiGmN/view?usp=sharing,,
Sleep Disorder-Restless leg syndorme,Pain in legs,trouble falling asleep,fatigue  or restlessness,,,,,,physical exam,sleep study,,,,,,,,,,non ergoline dopamine agonist,Neupro,mg,rotigotine,1,,,,,transdermal patch,,,,,,,once a day and increase dose gradually,,,,,,yes,,yes,,,,,before applying make sure the area is completely clean and apply as instructed on the product,,,massage your legs when an episode,distract your mind to something else,relaxation exercise like yoga,stick to same sleep cycle,if iron is less increase iron uptake,,,,,,,,,,,https://www.mayoclinic.org/diseases-conditions/restless-legs-syndrome/diagnosis-treatment/drc-20377174,,"https://www2.neupro.com/neupro-patch#:~:text=NEUPRO%20is%20a%20medication%20with,one%20patch%2C%20once%20a%20day."
Sleep Disturbance,Insomnias: Disorders of initiating and maintaining sleep,,Disorders of the sleep–wake schedule,"Parasomnias: Dysfunctions associated with sleep, sleep stages, or partial arousal",,,,,physical exam,sleep study,,,,,,,,,,Hypnotics,Fulnite,mg,Eszopiclone,1mg,,,,,pill,0,0,0,0,0,1,increase dose gradually,,,,,,yes,,yes,,,,,before bedtime,,,stick to a sleep cycle,avoid having large meal before bed,exercise regularly ,,,,,,,,,,,,,https://www.medindia.net/drug-price/eszopiclone.htm,https://www.mayoclinic.org/diseases-conditions/insomnia/diagnosis-treatment/drc-20355173,
,,Hypersomnias: Disorders of excessive somnolence,,,,,,,physical exam,sleep study,,,,,,,,,,Stimulants,Inspiral,mg,methylphenidate hydrochloride,10,,,,,tablet,0,0,0,0,0,1,,yes,,,,,yes,,yes,,,,,can cause dizziness while driving,,,avoid alcohol,create peaceful environment,do not take caffeine 4-5hrs before bed,,,,,,,,,,,,,https://www.medindia.net/doctors/drug_information/methylphenidate.htm,https://www.medicinenet.com/how_do_you_fix_hypersomnia/article.htm,
syphilis ,painless ulcers,vaginal discharge ,wart like growth on genitals,rashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shigellosis ,fever,bloody diarrhoea ,severe stomach cramping or tenderness ,dehydrated ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slip Disc,"pain and numbness, most commonly on one side of the body",pain that worsens at night or with certain movements,"tingling, aching, or burning sensations in the affected area",,,,,,Physical exam and medical history,Neurological check,lumbar spine area exam,,,,,,,,,NSAIDs and pain killer ,Celebrex,mg,celecoxib,200,,,,,tablet,0,0,0,1,0,1,2 times,yes,,,,,yes,,yes,,,,,Consult doctor before taking if you are pregnant or have heart surgery,,,Surgery if the symptoms doesn't subside and affect muscle function,,Physical therapy ,take proper rest,,,,,,,,,,,,https://www.mayoclinic.org/diseases-conditions/herniated-disk/diagnosis-treatment/drc-20354101,,
,,,,if muscle spasms,,,,,,,,,,,,,,,,muscle relaxants,Lioresal 10,mg,Baclofen,10,,,,,tablet,0,0,0,1,1,1,3 times,yes,,,,,yes,,yes,,,,,Consult doctor before taking if you are pregnant or have heart surgery,,,Surgery if the symptoms doesn't subside and affect muscle function,,Physical therapy ,use heat pad and ice for spasms,,,,,,,,,,,,https://www.medindia.net/doctors/drug_information/baclofen.htm,https://www.spine-health.com/treatment/pain-medication/muscle-relaxants,
Slow / Weak Urinary Stream,may dribble of urine after you finish urinating,wake up multiple times a night to pee,feel lower abdominal discomfort,feel like you have not completely emptied your bladder when you have finished urinating,,,,,uroflowmetry,,,,,,,,,,,anticholinergic,Tropan XL,mg,oxybutynin,5,,,,,tablet,0,0,0,1,0,1,2/3itmes,yes,,,,,yes,,no,,,,,,,,limit food and drinks that bother your bladder,try keggel exercises,keep a voiding diary,,,,,,,,,,,,,https://www.mayoclinic.org/diseases-conditions/overactive-bladder/diagnosis-treatment/drc-20355721,https://www.medindia.net/drug-price/oxybutynin-chloride.htm,https://www.mayoclinic.org/drugs-supplements/oxybutynin-oral-route/proper-use/drg-20065229
Small Bowel Obstruction,Malaise (an overall feeling of illness),Abdominal (stomach) cramps and pain.,severe constipation,"lack of appetite, bloating",,,,,Medical history / physical examination,CT scan,Abdominal X-rays,Blood tests,,,,,,,,Anti-emetics,Reglan,Mg,Metaclopromide ,15-20 mg,,,,,Tablet ,1,1,1,,,,40 mg per day,Yes,,12 weeks,,,Yes,,Yes,,,,,To be taken half an hour before the expected feeling of vomiting or before every meal. ,,,,,,,,,,,,,,,,,,,,
Snoring,Witnessed breathing pauses during sleep,Your snoring is so loud it's disrupting your partner's sleep,Gasping or choking at night,Sore throat upon awakening,,,,,Medical history / Questionnaires,Imaging test,Sleep study,,,,,,,,,Oral Appliances / Antihistamine medicine ( in case of allergy),Nasonex,Mg,Mometasone,5mg,,,,,Spray ,,,,,,1,once a day,Yes,,,,,No,,No,,,,,Spray in adequate quantity before going to bed ,,,,,,,,,,,,,,,,,,,,
Somatoform Disorder / Factitious,"pain in arms, legs, chest and other areas",headache,abdominal pain,diarrhea,constipation,diziness,Fatigue,,medical history,Physical examination,Mental Status Examination (MSE),Laboratory tests,,,,,,,,Anti-depressants,Luvox,Mg ,Fluvoxamine ,50 mg,,,,,Tablet ,,,,,,1,Once a day ,Yes,,2 weeks,,,Yes,,Yes,,,,,"The dose may be increased in 50 mg increments every 4-7 days, as tolerated, until maximum therapeutic benefit is achieved ",,,,,,,,,,,,,,,,,,,,
Spasticity,Contracture,Increased muscle tone,Involuntary movements,Bone and joint deformities,,,,,magnetic resonance imaging (MRI),electromyography,Neurological testing,,,,,,,,,Antispasmodic agent,Zanaflex ,Mg ,Tizanidine ,2 mg,,,,,Tablet ,1,1,1,,,,thrice a day,Yes,,Until symptoms disappear. ,,,Yes,,Yes ,,,,,Safety and efficacy has not been established in patients under 18 years of age. Care must be taken in such cases. ,,,,,,,,,,,,,,,,,,,,
Spinal Diseases,Abnormally rounded shoulders or back,Weakness in arms or legs,Stiffness or tightness,Bladder or bowel dysfunction,,,,,Electromyography (EMG),Neurological exam,Biopsy,CT scan / X-Ray,,,,,,,,Pain reliever / muscle relaxer,Aleve,Mg,Naproxen ,500mg,,,,,Tablet ,,1,,,,1,twice a day,Yes,,7 days,,,Yes ,,Yes,,,,,Dose may be altered as per the patient's condition and treatment demand ,,,,,,,,,,,,,,,,,,,,
