name,common_name,disease_specify1,disease_specify2,disease_specify3,sex_filter,category,seriousness
Dermatological changes,Skin changes located on the face, located on the face,,,both,Signs and symptoms,normal
Dermatological changes,Skin changes located on trunk, trunk,,,both,Signs and symptoms,normal
Dermatological changes,Skin changes on eyelid, eyelid,,,both,Signs and symptoms,normal
Dermatological changes,Skin changes on feet, feet,,,both,Signs and symptoms,normal
Dermatological changes,Skin changes on hands, hands,,,both,Signs and symptoms,normal
Dermatological changes,Skin changes on or around female genital area, female genital area,,,female,Signs and symptoms,normal
Dermatological changes,Skin changes on or around genitals, located in the genital area,,,both,Signs and symptoms,normal
Dermatological changes,Skin changes on or around male genital area, male genital area,,,male,Signs and symptoms,normal
Dermatological changes,Skin changes on specific part of body, localised,,,both,Signs and symptoms,normal
Dermatological changes,Skin changes on the scalp, scalp,,,both,Signs and symptoms,normal
Dermatological changes,Skin changes preceded by pain or itching, preceded by pain or itching,,,both,Signs and symptoms,normal
Dermatological changes,Skin changes recurring during period or infections, recurring during infections or menstrual period,,,female,Signs and symptoms,normal
Dermatological changes,Skin changes that come and go, with flare-ups and remissions,,,both,Signs and symptoms,normal
Dermatological changes,"Skin changes with rough, irregular surface", rough and irregular surface,,,both,Signs and symptoms,normal
Dermatological changes,Skin changes worsening after alcohol consumption, exacerbated by alcohol consumption,,,both,Signs and symptoms,normal
Dermatological changes,Skin changes worsening under stress, aggravated by stress,,,both,Signs and symptoms,normal
Destructive thoughts towards other people or things,Destructive thoughts towards other people or things,,,,both,Signs and symptoms,serious
Diarrhea,Diarrhea,,,,both,Signs and symptoms,normal
Diarrhea,Diarrhea lasting 2 to 14 days, lasting 2 to 14 days,,,both,Signs and symptoms,normal
Diarrhea,Diarrhea lasting 2 to 4 weeks, lasting 2 to 4 weeks,,,both,Signs and symptoms,serious
Diarrhea,Diarrhea lasting less than 48 hours, lasting less than 48 hours,,,both,Signs and symptoms,normal
Diarrhea,Diarrhea lasting more than 4 weeks, lasting more than 4 weeks,,,both,Signs and symptoms,normal
Diarrhea,Diarrhea that looks like rice water, rice water,,,both,Signs and symptoms,normal
Diarrhea,Diarrhea with more than 6 stools a day, more than 6 stools a day,,,both,Signs and symptoms,normal
Diarrhea,"Diarrhea, unknown character", unknown character,,,both,Signs and symptoms,normal
Diarrhea,Foamy diarrhea, foamy,,,both,Signs and symptoms,normal
Difference in size of testicles,Difference in size of testicles,,,,male,Signs and symptoms,normal
Difficulty achieving orgasm,Difficulty achieving orgasm,,,,both,Signs and symptoms,normal
Difficulty acquiring new information,Difficulty learning new things,,,,both,Signs and symptoms,normal
Difficulty biting and chewing,Difficulty biting and chewing,,,,both,Signs and symptoms,normal
Difficulty bonding with infant,Difficulty bonding with baby,,,,both,Signs and symptoms,normal
Difficulty completely closing eye,Difficulty completely closing eye,,,,both,Signs and symptoms,serious
Diminished appetite,Diminished appetite,,,,both,Signs and symptoms,normal
Diminished fear responses,Diminished fear responses,,,,both,Signs and symptoms,normal
Diminished superficial reflexes,Diminished superficial reflexes,,,,both,Signs and symptoms,normal
Diplopia,Double vision,,,,both,Signs and symptoms,normal
Diplopia,Double vision lasting less than 24 hours, lasting less than 24 hours,,,both,Signs and symptoms,emergency
Diplopia,Double vision lasting more than 24 hours, lasting more than 24 hours,,,both,Signs and symptoms,serious
Diplopia while looking down and medially,Double vision while looking down and toward the nose,,,,both,Signs and symptoms,serious
Diplopia while looking in any direction,Double vision while looking in any direction,,,,both,Signs and symptoms,serious
Diplopia with horizontal image dispersion,Double vision with images appearing side by side,,,,both,Signs and symptoms,serious
Direct care to COVID-19 case,Direct care to COVID-19 positive person,,,,both,Signs and symptoms,normal
Discharge from ear,Bleeding from ear, bloody,,,both,Signs and symptoms,serious
Discharge from ear,Discharge from ear,,,,both,Signs and symptoms,serious
Discharge from ear,Yellow or green discharge from ear, purulent,,,both,Signs and symptoms,serious
Discharge from periodontal pockets,Discharge from spaces between the gums and teeth,,,,both,Signs and symptoms,normal
Discharge from urethra,Discharge from urethra,,,,male,Signs and symptoms,normal
Discharge in tympanic cavity,Discharge in tympanic cavity,,,,both,Signs and symptoms,normal
Discharge under foreskin,Discharge under foreskin,,,,male,Signs and symptoms,normal
Disinhibition,Disinhibition,,,,both,Signs and symptoms,normal
Disorganised behaviour,Disorganised behaviour,,,,both,Signs and symptoms,normal
Dissociated sensory loss,Dissociated sensory loss,,,,both,Signs and symptoms,serious
Distance misjudgment,Problems judging distances,,,,both,Signs and symptoms,normal
Diurnal mood variation,Mood better in the evening than in the morning,,,,both,Signs and symptoms,normal
Divergent strabismus,One or both eyes turning outward,,,,both,Signs and symptoms,serious
Dix-Hallpike maneuver,"Dix-Hallpike maneuver, rotatory nystagmus", rotatory nystagmus,,,both,Signs and symptoms,normal
Dizziness,Dizziness while turning the head, head rotation,,,both,Signs and symptoms,normal
Dizziness,Dizzy,,,,both,Signs and symptoms,normal
Dizziness,Recurrent dizziness, recurrent,,,both,Signs and symptoms,normal
Dizziness,Unbearable dizziness, unbearable,,,both,Signs and symptoms,emergency
Dizziness,Vertigo, vertigo,,,both,Signs and symptoms,normal
Drinking alcohol alone,Drinking alcohol alone,,,,both,Signs and symptoms,normal
Drinking alcohol at work,Drinking alcohol at work,,,,both,Signs and symptoms,normal
Drinking alcohol despite awareness of harmful effects,Drinking alcohol despite awareness of harmful effects,,,,both,Signs and symptoms,normal
Drinking alcohol to ease hangover,Drinking alcohol to ease hangover,,,,both,Signs and symptoms,normal
Drinking large quantities of alcohol,Drinking large quantities of alcohol,,,,both,Signs and symptoms,normal
Drinking large quantities of alcohol at one time,Drinking large quantities of alcohol at one time,,,,both,Signs and symptoms,normal
Drive for muscularity,Desire to be highly muscular,,,,male,Signs and symptoms,normal
Drooping mouth corner,Drooping mouth corner,,,,both,Signs and symptoms,emergency
Drop attack,Sudden spontaneous fall,,,,both,Signs and symptoms,serious
Drunk driving,Drunk driving,,,,both,Signs and symptoms,normal
Dry,"Dry, cracked skin, bleeding occasionally", cracked skin, bleeding occasionally,,both,Signs and symptoms,normal
Dry discharge on eyelids,Dry discharge on eyelids,,,,both,Signs and symptoms,normal
Dry eyes,Dry eyes,,,,both,Signs and symptoms,normal
Dry mouth,Dry mouth,,,,both,Signs and symptoms,normal
Dry skin,Dry skin,,,,both,Signs and symptoms,normal
Dysmenorrhea,Painful periods,,,,female,Signs and symptoms,normal
Dyspepsia,Indigestion,,,,both,Signs and symptoms,normal
Dysphagia,Difficulty initiating a swallow, oropharyngeal,,,both,Signs and symptoms,normal
Dysphagia,Difficulty swallowing,,,,both,Signs and symptoms,normal
Dysphagia,Feeling of food getting stuck several seconds after swallowing, esophageal,,,both,Signs and symptoms,normal
Dysphonia,Hoarse voice,,,,both,Signs and symptoms,normal
Dysphonia,Hoarseness lasting more than 2 weeks, more than 2 weeks,,,both,Signs and symptoms,serious
Dyspnea,Shortness of breath,,,,both,Signs and symptoms,normal
Dyspnea,Shortness of breath after a few minutes of walking, after a few minutes of walking,,,both,Signs and symptoms,serious
Dyspnea,Shortness of breath at rest, at rest,,,both,Signs and symptoms,serious
Dyspnea,Shortness of breath lasting 1 to 24 hours, lasting 1 to 24 hours,,,both,Signs and symptoms,serious
Dyspnea,Shortness of breath lasting between 1 day and 1 month, lasting between 1 day and 4 weeks,,,both,Signs and symptoms,serious
Dyspnea,Shortness of breath lasting more than 4 weeks, lasting more than 4 weeks,,,both,Signs and symptoms,normal
Dyspnea,Shortness of breath of unknown severity, unknown severity,,,both,Signs and symptoms,serious
Dyspnea,Shortness of breath on effort, on exertion,,,both,Signs and symptoms,normal
Dyspnea,Shortness of breath starting within the hour, started 1 hour ago,,,both,Signs and symptoms,serious
Dyspnea,Shortness of breath that comes and goes, with flare-ups and remissions,,,both,Signs and symptoms,serious
Dyspnea,Shortness of breath when lying down, orthopnea,,,both,Signs and symptoms,serious
Dyspnea,Shortness of breath while sleeping, paroxysmal nocturnal,,,both,Signs and symptoms,serious
Dyspnea,Sudden breathing problems after an injury, acute, after trauma,,both,Signs and symptoms,emergency
Dyspnea,Sudden worsening of dyspnea, sudden worsening,,,both,Signs and symptoms,emergency
Dystonia,Dystonia,,,,both,Signs and symptoms,normal
Ear canal swelling,Swelling inside the ear,,,,both,Signs and symptoms,normal
Earache,Earache,,,,both,Signs and symptoms,normal
Earache,Pain when pressing area around the ear, tenderness around the ear,,,both,Signs and symptoms,normal
Easy bruising,Easy bruising,,,,both,Signs and symptoms,normal
Edema,Daytime swelling, daytime,,,both,Signs and symptoms,normal
Edema,Hip swelling, hip joint,,,both,Signs and symptoms,normal
Edema,Pitting edema, pitting,,,both,Signs and symptoms,normal
Edema,Swelling,,,,both,Signs and symptoms,normal
Edema,Swelling around the eyes, periorbital,,,both,Signs and symptoms,normal
Edema,Swelling dependent on the position of the body, dependent on the body position,,,both,Signs and symptoms,normal
Edema,Swelling in the middle of the chest, costochondral junctions,,,both,Signs and symptoms,normal
Edema,Swelling of the upper limb, upper limb,,,both,Signs and symptoms,normal
Edema,Swollen ankle, one ankle,,,both,Signs and symptoms,normal
Edema,Swollen ankles, both ankles,,,both,Signs and symptoms,normal
Edema,Swollen elbow, elbow joint,,,both,Signs and symptoms,normal
Edema,Swollen face, face,,,both,Signs and symptoms,normal
Edema,Swollen feet, both feet,,,both,Signs and symptoms,normal
Edema,Swollen finger, finger,,,both,Signs and symptoms,normal
Edema,Swollen foot, one foot,,,both,Signs and symptoms,normal
Edema,Swollen hand, one hand,,,both,Signs and symptoms,normal
Edema,Swollen hands, both hands,,,both,Signs and symptoms,normal
Edema,Swollen knee, knee joint,,,both,Signs and symptoms,normal
Edema,Swollen leg, one lower limb,,,both,Signs and symptoms,normal
Edema,Swollen legs, both lower limbs,,,both,Signs and symptoms,normal
Edema,Swollen lips, lip,,,both,Signs and symptoms,normal
Edema,Swollen neck, neck,,,both,Signs and symptoms,normal
Edema,Swollen nose, nose,,,both,Signs and symptoms,normal
Edema,Swollen penis, penis,,,male,Signs and symptoms,normal
Edema,Swollen scrotum, scrotum,,,male,Signs and symptoms,serious
Edema,Swollen shoulder, shoulder joint,,,both,Signs and symptoms,normal
Edema,Swollen toe, toe,,,both,Signs and symptoms,normal
Edema,Swollen wrist, wrist joint,,,both,Signs and symptoms,normal
Electrical burn,Electrical burn,,,,both,Signs and symptoms,emergency
Elevated mood,Elevated mood,,,,both,Signs and symptoms,normal
Enamel hypoplasia,Enamel hypoplasia,,,,both,Signs and symptoms,normal
Enamel lesions,Cavities, caries,,,both,Signs and symptoms,normal
Enamel lesions,Spots on tooth, spots,,,both,Signs and symptoms,normal
Enamel lesions,Tooth lesion,,,,both,Signs and symptoms,normal
Enlarged axillary lymph nodes,Enlarged lymph nodes in the armpit,,,,both,Signs and symptoms,serious
Enlarged breasts,Enlarged breasts,,,,female,Signs and symptoms,normal
Enlarged cervical lymph nodes,Enlarged lymph nodes in the neck,,,,both,Signs and symptoms,normal
Enlarged front of neck,Swollen front of neck,,,,both,Signs and symptoms,normal
Enlarged kidneys,Enlarged kidneys,,,,both,Signs and symptoms,serious
Enlarged lymph nodes,Enlarged lymph nodes,,,,both,Signs and symptoms,normal
Enlarged salivary glands,Enlarged salivary glands,,,,both,Signs and symptoms,serious
Enlarged side of neck,Swollen side of neck,,,,both,Signs and symptoms,normal
Enlarged vein of limb,"Enlarged vein of limb, chest or abdomen", chest or abdomen,,,both,Signs and symptoms,normal
Enlarged whole neck,Swollen whole neck,,,,both,Signs and symptoms,normal
Enlargement of hands,"Enlargement of hands, feet, or face", feet, or face,,both,Signs and symptoms,normal
Enlargement of palatine tonsil,Swollen throat on one side, unilateral,,,both,Signs and symptoms,normal
Enlargement of palatine tonsils,Swelling on both sides of throat, bilateral,,,both,Signs and symptoms,normal
Enlargement of the lymphoid tissue in the pharynx,Enlargement of the lymphoid tissue in the pharynx,,,,both,Signs and symptoms,normal
Erectile dysfunction,Erectile dysfunction,,,,male,Signs and symptoms,normal
Erythema,Red finger, finger,,,both,Signs and symptoms,normal
Erythema,Red hand, hand,,,both,Signs and symptoms,normal
Erythema,Red patches on scalp, scalp,,,both,Signs and symptoms,normal
Erythema,Red skin on arms or legs, limb,,,both,Signs and symptoms,normal
Erythema,Red skin on face, facial,,,both,Signs and symptoms,normal
Erythema,Red skin on palms, palmar,,,both,Signs and symptoms,normal
Erythema,Red toe, toe,,,both,Signs and symptoms,normal
Erythema,Reddened foreskin or head of the penis, foreskin or head of the penis,,,male,Signs and symptoms,normal
Erythema,Reddened vulva, vulva,,,female,Signs and symptoms,normal
Erythema,Redness and scaling on almost the entire body, large portion of body,,,both,Signs and symptoms,serious
Erythema,Redness around eyes, around eyes,,,both,Signs and symptoms,normal
Erythema,Redness of skin,,,,both,Signs and symptoms,normal
Erythema,Redness of skin over joint, joint,,,both,Signs and symptoms,normal
Erythema,Redness on the shoulders and the back of the neck, shoulders and nape of neck,,,both,Signs and symptoms,normal
Erythema,Redness only on the cheeks and nose, facial, butterfly-shaped,,both,Signs and symptoms,normal
Erythema,Unspecified redness of the skin, unspecified,,,both,Signs and symptoms,normal
Erythema,V-shaped redness on the chest, V-shaped on chest,,,both,Signs and symptoms,normal
Erythema migrans,Expanding red spot with regular skin or clearing in the middle,,,,both,Signs and symptoms,serious
Erythematous tonsils,Unusually red tonsils,,,,both,Signs and symptoms,normal
Excess hair growth,Excessive hair,,,,female,Signs and symptoms,normal
Excessive fear in public situations,Excessive fear in public situations,,,,both,Signs and symptoms,normal
Excessive saliva production,Excessive salivation,,,,both,Signs and symptoms,normal
Excessive sweating,Excessive sweating,,,,both,Signs and symptoms,normal
Excessive tear production,Watery eyes,,,,both,Signs and symptoms,normal
Excessive worry about the health of a child,Excessive worry about the health of a child,,,,female,Signs and symptoms,normal
Exophthalmos,Protruding eye,,,,both,Signs and symptoms,serious
Eye discharge,Eye discharge,,,,both,Signs and symptoms,normal
Eye discharge,Non-purulent eye discharge, thick and clear,,,both,Signs and symptoms,normal
Eye discharge,Purulent eye discharge, purulent,,,both,Signs and symptoms,serious
Eye flashes,Eye flashes,,,,both,Signs and symptoms,normal
Eye pain,Eye pain,,,,both,Signs and symptoms,normal
Eye pain,Unbearable eye pain, unbearable,,,both,Signs and symptoms,emergency
Eyelid lesion,Itchy skin changes on eyelid, itching,,,both,Signs and symptoms,normal
Eyelid lesion,Painful skin changes on eyelid, painful,,,both,Signs and symptoms,normal
Eyelid lesion,Red and warm skin changes on eyelid, red and warm,,,both,Signs and symptoms,normal
Eyelid lesion,Red lump with yellow tip on eyelid, red lump with yellow tip,,,both,Signs and symptoms,normal
Eyelid twitching,Trembling eyelids,,,,both,Signs and symptoms,normal
Eyes sensitive to light,Light sensitivity,,,,both,Signs and symptoms,normal
Facial muscle paresis,Facial muscle weakness,,,,both,Signs and symptoms,normal
Facial muscle paresis,Facial muscle weakness lasting between 24 hours and 4 weeks, lasting between 24 hours and 4 weeks,,,both,Signs and symptoms,serious
Facial muscle paresis,Facial muscle weakness lasting less than 24 hours, lasting less than 24 hours,,,both,Signs and symptoms,emergency
Facial muscle paresis,Facial muscle weakness lasting over 4 weeks, lasting over 4 weeks,,,both,Signs and symptoms,normal
Facial muscle paresis,Facial muscle weakness on one side of face, unilateral,,,both,Signs and symptoms,emergency
Facial muscle spasms,Facial muscle spasms,,,,both,Signs and symptoms,normal
Facial pain,Constant face pain, constant,,,both,Signs and symptoms,normal
Facial pain,Face pain,,,,both,Signs and symptoms,normal
Facial pain,Face pain lasting longer than a couple of hours, longer than a couple of hours,,,both,Signs and symptoms,normal
Facial pain,Face pain on one side, unilateral,,,both,Signs and symptoms,normal
Facial pain,"Face pain triggered by eating, or touching or brushing teeth", triggered by eating, or touching or brushing teeth,,both,Signs and symptoms,normal
Facial pain,Periodic face pain, periodic,,,both,Signs and symptoms,normal
Facial pain,Severe face pain, severe,,,both,Signs and symptoms,serious
Facial pain,Sinus pain or pressure, paranasal sinus,,,both,Signs and symptoms,normal
Facial pain,Spontaneous face pain, unprovoked,,,both,Signs and symptoms,normal
Facial pain,Stabbing face pain, stabbing,,,both,Signs and symptoms,serious
Fatigue,Fatigue,,,,both,Signs and symptoms,normal
Fatigue,Fatigue lasting more than 6 months, more than 6 months,,,both,Signs and symptoms,normal
Fatigue,Weakness worsening after exercise, weakness after exercise,,,both,Signs and symptoms,normal
Fear of ageing,Fear of growing older or ageing,,,,both,Signs and symptoms,normal
Fear of dying,Fear of dying,,,,both,Signs and symptoms,normal
Fear of going insane,Fear of going insane,,,,both,Signs and symptoms,normal
Fear of losing control,Fear of losing control,,,,both,Signs and symptoms,normal
Fear of obesity,Fear of obesity,,,,both,Signs and symptoms,normal
Fear of object,Specific fear, situation, action,,both,Signs and symptoms,normal
Fear of public appearances,Fear of public appearances,,,,both,Signs and symptoms,normal
Feeling hot,Feeling hot,,,,both,Signs and symptoms,normal
Feeling of guilt,Feeling of guilt,,,,both,Signs and symptoms,normal
Feeling of guilt or shame after drinking alcohol,Feeling of guilt or shame after drinking alcohol,,,,both,Signs and symptoms,normal
Feeling of helplessness,Feeling of helplessness,,,,both,Signs and symptoms,normal
Feeling of hopelessness,Feeling of hopelessness,,,,both,Signs and symptoms,normal
Feeling of incomplete evacuation of the bladder,Bladder not emptying completely,,,,both,Signs and symptoms,normal
Feeling of rectal fullness,Feeling of rectal fullness,,,,both,Signs and symptoms,normal
Feeling of sand under eyelids,Feeling of sand under eyelids,,,,both,Signs and symptoms,normal
Feeling of vaginal fullness,Vaginal fullness,,,,female,Signs and symptoms,normal
Feeling of weight in scrotum,Feeling of weight in scrotum,,,,male,Signs and symptoms,normal
Feeling overweight despite normal to low weight,Feeling overweight despite normal to low weight,,,,both,Signs and symptoms,normal
Feeling pressure or pulsation inside the tooth,Feeling pressure or pulsation inside the tooth,,,,both,Signs and symptoms,serious
Female genital burn,Female genital burn,,,,female,Signs and symptoms,emergency
Female infertility,Female infertility,,,,female,Signs and symptoms,normal
Fetal membranes rupture,Smelly or coloured waters, purulent or malodorous amniotic fluid,,,both,Signs and symptoms,emergency
Fetal membranes rupture,Water breaking,,,,female,Signs and symptoms,emergency
Fever,Fever,,,,both,Signs and symptoms,normal
Fever,Fever between 100.4 and 104°F or 38 and 40°C, between 100.4 and 104°F or 38 and 40°C,,,both,Signs and symptoms,normal
Fever,Fever higher than 104°F or 40°C, higher than 104°F or 40°C,,,both,Signs and symptoms,serious
Fever,Fever lasting 3 to 7 days, lasting 3 to 7 days,,,both,Signs and symptoms,normal
Fever,Fever lasting less than 3 days, lasting less than 3 days,,,both,Signs and symptoms,normal
Fever,Fever lasting more than 7 days, lasting more than 7 days,,,both,Signs and symptoms,serious
Fever,Fever not measured, temperature not measured,,,both,Signs and symptoms,normal
Fever,Fever that comes and goes, flare-ups and remissions,,,both,Signs and symptoms,normal
Fever,Periodic fever, periodic,,,both,Signs and symptoms,serious
Fever,Subfebrile temperature between 98.6 and 100.4°F or 37 and 38°C, between 98.6 and 100.4°F or 37 and 38°C,,,both,Signs and symptoms,normal
Financial recklessness,Financial recklessness,,,,both,Signs and symptoms,normal
Fits of anger,Fits of anger,,,,both,Signs and symptoms,normal
Flank pain,Pain on sides of body,,,,both,Signs and symptoms,normal
Flat affect,Flat affect,,,,both,Signs and symptoms,normal
Flat foot,Flat foot,,,,both,Signs and symptoms,normal
Foamy urine,Foamy urine,,,,both,Signs and symptoms,normal
Foot drop,Dropping the front of the foot,,,,both,Signs and symptoms,serious
Foot pain,Pain in one foot,,,,both,Signs and symptoms,normal
Foot pain,Pain in the back of foot while standing on toes, pain in back of foot during single-leg heel raise,,,both,Signs and symptoms,normal
Forward-leaning posture,Forward-leaning posture,,,,both,Signs and symptoms,normal
Foul-smelling stools,Foul-smelling stools,,,,both,Signs and symptoms,normal
Frequent infections,Frequent bronchitis, lower respiratory tract,,,both,Signs and symptoms,normal
Frequent infections,Frequent infections,,,,both,Signs and symptoms,normal
Frequent infections,"Frequent runny nose, cough", upper respiratory tract,,,both,Signs and symptoms,normal
Frequent urination,Urinating often,,,,both,Signs and symptoms,normal
Frontal release signs,Frontal release signs,,,,both,Signs and symptoms,normal
Galactorrhea in men,Milky discharge from the nipple,,,,male,Signs and symptoms,normal
Galactorrhea in women,Milky discharge from the nipple outside of breastfeeding period,,,,female,Signs and symptoms,normal
Gambling,Excessive gambling, pathological,,,both,Signs and symptoms,normal
Gambling,Gambling,,,,both,Signs and symptoms,normal
Gambling,Lying about the extent of gambling, lying about extent,,,both,Signs and symptoms,normal
Gastric symptoms,Gastric symptoms after eating foods containing gluten, after gluten ingestion,,,both,Signs and symptoms,normal
Gastric symptoms,Gastric symptoms after eating or drinking foods containing lactose, after lactose ingestion,,,both,Signs and symptoms,normal
Gastric symptoms,Stress-related gastric symptoms, stress-related,,,both,Signs and symptoms,normal
General anxiety,General anxiety,,,,both,Signs and symptoms,normal
Genital injury in female,Genital injury in female,,,,female,Signs and symptoms,serious
Genital injury in male,Genital injury in male,,,,male,Signs and symptoms,serious
Genital itch,Itching in crotch,,,,both,Signs and symptoms,normal
Genu varum,Bowlegs,,,,both,Signs and symptoms,normal
Gingival recession,Receding gums,,,,both,Signs and symptoms,normal
Glassy eyes,Glassy eyes,,,,both,Signs and symptoms,normal
Globus sensation,Feeling of lump in throat,,,,both,Signs and symptoms,normal
Goldflam's sign,Goldflam's sign,,,,both,Signs and symptoms,emergency
Gonda-Allen sign,Gonda-Allen sign,,,,both,Signs and symptoms,normal
Gordon's sign,Gordon's sign,,,,both,Signs and symptoms,emergency
Gottron's papules,"Red, painful, or scaly bumps over hand and finger joints",,,,both,Signs and symptoms,normal
Grandiosity,Grandiosity,,,,both,Signs and symptoms,normal
Gum erythema,Red gums,,,,both,Signs and symptoms,normal
Gum pain,Gum pain,,,,both,Signs and symptoms,normal
Gynecomastia,Breast enlargement in man,,,,male,Signs and symptoms,normal
Hair loss,Generalized hair volume loss, generalized,,,both,Signs and symptoms,normal
Hair loss,Hair loss,,,,both,Signs and symptoms,normal
Hair loss,Hair loss on the temples or at the top of the head, androgenetic,,,both,Signs and symptoms,normal
Hairy leukoplakia,Hairy leukoplakia,,,,both,Signs and symptoms,serious
Halitosis,Bad breath,,,,both,Signs and symptoms,normal
Hallucinations,Auditory hallucinations, auditory,,,both,Signs and symptoms,emergency
Hallucinations,Gustatory hallucinations, gustatory,,,both,Signs and symptoms,emergency
Hallucinations,Hallucinations,,,,both,Signs and symptoms,emergency
Hallucinations,Olfactory hallucinations, olfactory,,,both,Signs and symptoms,emergency
Hallucinations,Tactile hallucinations, tactile,,,both,Signs and symptoms,emergency
Hallucinations,Visual hallucinations, visual,,,both,Signs and symptoms,emergency
Halos around lights,Halos around lights,,,,both,Signs and symptoms,normal
Hard lump in inguinal region,Dark or bluish hard lump in groin, dark or bluish discolouration,,,both,Signs and symptoms,serious
Hard lump in inguinal region,Hard lump in groin,,,,both,Signs and symptoms,normal
Hard lump in inguinal region,Lump in groin cannot be pushed back in groin, irreducible,,,both,Signs and symptoms,normal
Hard lump in inguinal region,Painful hard lump in groin, tender,,,both,Signs and symptoms,serious
Hard retinal exudates,Hard retinal exudates,,,,both,Signs and symptoms,normal
Head drop,Head drop,,,,both,Signs and symptoms,serious
Head tilt in order to avoid diplopia,Double vision improves while tilting head,,,,both,Signs and symptoms,serious
Head tremors,Head tremors,,,,both,Signs and symptoms,normal
Headache,Headache,,,,both,Signs and symptoms,normal
Headache,Headache attack lasting 4 to 72 hours, chronic, lasting 4 to 72 hours,,both,Signs and symptoms,normal
Headache,Headache attacks lasting 3 to 7 days, chronic, lasting 3 to 7 days,,both,Signs and symptoms,normal
Headache,Headache lasting between 1 hour and 1 day, recent, lasting 1 to 24 hours,,both,Signs and symptoms,normal
Headache,Headache lasting between 5 minutes and 4 hours, chronic, lasting 5 minutes to 4 hours,,both,Signs and symptoms,normal
Headache,Headache lasting for more than 1 day, recent, lasting more than 1 day,,both,Signs and symptoms,normal
Headache,Headache lasting less than 1 hour, recent, lasting less than 1 hour,,both,Signs and symptoms,normal
Headache,Headache lasting less than 5 minutes, chronic, lasting less than 5 minutes,,both,Signs and symptoms,normal
Headache,Headache located all over head, generalized,,,both,Signs and symptoms,normal
Headache,Headache located at back of head, occipital,,,both,Signs and symptoms,normal
Headache,Headache located near the forehead, forehead,,,both,Signs and symptoms,normal
Headache,Headache located on only one side, unilateral,,,both,Signs and symptoms,normal
Headache,Headache located over the temples, temporal region,,,both,Signs and symptoms,normal
Headache,Headache worsened by physical activity, exacerbated by physical activity,,,both,Signs and symptoms,normal
Headache,Headache worsened by stress, exacerbated by increased stress,,,both,Signs and symptoms,normal
Headache,Headache worsened by tilting head forward, exacerbated by tilting head forwards,,,both,Signs and symptoms,normal
Headache,Headaches history longer than 3 months, chronic,,,both,Signs and symptoms,normal
Headache,Headaches history shorter than 3 months, recent,,,both,Signs and symptoms,normal
Headache,Mild headache, mild,,,both,Signs and symptoms,normal
Headache,Moderate headache, moderate,,,both,Signs and symptoms,normal
Headache,Morning headache, worse in the morning,,,both,Signs and symptoms,normal
Headache,Pressing or squeezing headache, pressing,,,both,Signs and symptoms,normal
Headache,Pulsing headache, pulsating,,,both,Signs and symptoms,normal
Headache,Series of headaches, series over a period of time,,,both,Signs and symptoms,normal
Headache,Severe headache, severe,,,both,Signs and symptoms,normal
Headache,Stabbing headache, lancinating,,,both,Signs and symptoms,normal
Headache,Sudden headache, sudden onset,,,both,Signs and symptoms,normal
Headache,Worst headache ever, excruciating,,,both,Signs and symptoms,emergency
Hearing voices arguing,Hearing voices arguing,,,,both,Signs and symptoms,emergency
Hearing voices commenting,Hearing voices commenting,,,,both,Signs and symptoms,emergency
Heartburn,Heartburn,,,,both,Signs and symptoms,normal
Heavy legs at the end of the day,Heavy legs at the end of the day,,,,both,Signs and symptoms,normal
Heavy or prolonged menstrual periods,Heavy or prolonged periods,,,,female,Signs and symptoms,normal
Heel drop test,Stomach pain after dropping hard on heels,,,,both,Signs and symptoms,emergency
Hemarthrosis,Bleeding into joints,,,,both,Signs and symptoms,normal
Hematemesis,Vomiting blood,,,,both,Signs and symptoms,emergency
Hemianopsia bitemporalis,Hemianopsia bitemporalis,,,,both,Signs and symptoms,serious
Hemoptysis,Coughing up blood,,,,both,Signs and symptoms,emergency
Hepatomegaly,Hepatomegaly,,,,both,Signs and symptoms,normal
Heterochromic irides,Different eye colours,,,,both,Signs and symptoms,normal
Hiccups,Hiccups,,,,both,Signs and symptoms,normal
High-arched palate,High-arched palate,,,,both,Signs and symptoms,normal
History of anemia,History of anemia,,,,both,Signs and symptoms,normal
Holster sign,Redness on hips or sides of thighs,,,,both,Signs and symptoms,normal
Homonymous hemianopsia,Visual field loss on the same side of both eyes,,,,both,Signs and symptoms,normal
Honey-coloured crust on the skin,Honey-coloured scabs on the skin,,,,both,Signs and symptoms,normal
Hot flashes,Hot flashes,,,,both,Signs and symptoms,normal
Hyperalgesia,Hyperalgesia,,,,both,Signs and symptoms,normal
Hyperkeratosis on hands,Thickened and cracked skin on hands,,,,both,Signs and symptoms,normal
Hypersensitivity to smells,Oversensitivity to smells,,,,both,Signs and symptoms,normal
Hypersensitivity to sound,Oversensitivity to sound,,,,both,Signs and symptoms,normal
Hypochondriacal delusions,Hypochondriacal delusions,,,,both,Signs and symptoms,normal
Hypomenorrhea,Short or scanty periods,,,,female,Signs and symptoms,normal
Hypopigmentation of the skin,Lightening of the skin,,,,both,Signs and symptoms,normal
Hypopyon,Collection of pus in front of the eye,,,,both,Signs and symptoms,serious
Hypotension,Low blood pressure,,,,both,Signs and symptoms,normal
Ignoring consequences and social norms,Ignoring consequences and social norms,,,,both,Signs and symptoms,normal
