name,common_name,sex_filter,categories,prevalence,acuteness,severity,triage_level,recommended_channel
Fatigue,Fatigue,both,Internal Medicine,moderate,acute_potentially_chronic,mild,self_care,text_teleconsultation
Femur fracture,Broken thigh bone,both,Traumatology,very_rare,acute,moderate,emergency_ambulance,personal_visit
Fibroadenoma of breast,Fibroadenoma of breast,female,Gynecology,rare,chronic,mild,consultation,personal_visit
Fibrocystic breasts,Fibrocystic breasts,female,Gynecology,rare,chronic_with_exacerbations,mild,consultation,personal_visit
Fibromyalgia,Fibromyalgia,both,Rheumatology,very_rare,chronic,mild,consultation,personal_visit
Finger contusion,Finger contusion,both,Traumatology,very_rare,acute,mild,self_care,video_teleconsultation
Finger dislocation,Dislocated finger,both,Traumatology,very_rare,acute,moderate,consultation,personal_visit
Finger fracture,Broken finger,both,Traumatology,very_rare,acute,moderate,consultation,personal_visit
Flatfoot,Flat feet,both,Orthopedics,rare,chronic,mild,consultation,personal_visit
Folate-deficiency anemia,Folate-deficiency anemia,both,Hematology,very_rare,chronic,mild,consultation,audio_teleconsultation
Food allergy,Food allergy,both,Allergology,rare,chronic_with_exacerbations,moderate,self_care,audio_teleconsultation
Food poisoning,Food poisoning,both,Gastroenterology,common,acute,mild,self_care,audio_teleconsultation
Foot bones fracture,Broken foot,both,Traumatology,very_rare,acute,moderate,consultation_24,personal_visit
Foot contusion,Foot contusion,both,Traumatology,very_rare,acute,mild,self_care,video_teleconsultation
Foot osteoarthritis,Foot osteoarthritis,both,Orthopedics,very_rare,chronic,mild,consultation,personal_visit
Forearm bones fracture,Broken forearm,both,Traumatology,very_rare,acute,moderate,emergency,personal_visit
Forearm contusion,Forearm contusion,both,Traumatology,very_rare,acute,mild,self_care,video_teleconsultation
Foreign body aspiration,Foreign body aspiration,both,Otorhinolaryngology,very_rare,acute,severe,emergency,personal_visit
Functional dyspepsia,Indigestion,both,Gastroenterology,common,chronic_with_exacerbations,mild,self_care,audio_teleconsultation
Functional ovarian cyst,Cyst of an ovary,female,Gynecology,moderate,chronic,mild,consultation,personal_visit
"Furuncles, carbuncles and cutaneous abscesses",Skin abscess,both,Dermatology,rare,acute_potentially_chronic,moderate,consultation,video_teleconsultation
Gambling addiction,Pathological gambling,both,Psychiatry,moderate,chronic,severe,consultation,video_teleconsultation
Gastric cancer,Gastric cancer,both,Gastroenterology,very_rare,chronic,severe,consultation,personal_visit
Gastritis,Gastritis,both,Gastroenterology,moderate,chronic_with_exacerbations,mild,consultation,audio_teleconsultation
Gastroesophageal reflux disease,Gastroesophageal reflux disease,both,Gastroenterology,moderate,chronic_with_exacerbations,mild,consultation,audio_teleconsultation
General anxiety disorder,General anxiety disorder,both,Psychiatry,moderate,chronic_with_exacerbations,moderate,consultation,video_teleconsultation
Genital herpes,Genital herpes,both,Venereology,rare,chronic_with_exacerbations,mild,consultation,personal_visit
Genital injury,Crotch injury,both,Urology,very_rare,acute,moderate,consultation_24,personal_visit
Geographic tongue,Geographic tongue,both,Dentistry,common,chronic_with_exacerbations,mild,self_care,personal_visit
Gestational diabetes,Diabetes in pregnancy,female,Gynecology,very_rare,acute_potentially_chronic,moderate,consultation,video_teleconsultation
Giardiasis,Giardiasis,both,Infectiology,very_rare,acute_potentially_chronic,mild,consultation_24,personal_visit
Gilbert's syndrome,Familial nonhemolytic jaundice,both,Gastroenterology,rare,chronic,mild,consultation,text_teleconsultation
Gingivitis,Inflammation of the gums,both,Dentistry,moderate,acute_potentially_chronic,mild,self_care,personal_visit
Gitelman syndrome,Gitelman syndrome,both,Nephrology,very_rare,chronic,moderate,consultation,personal_visit
Glomerulonephritis,Glomerulonephritis,both,Nephrology,very_rare,acute_potentially_chronic,moderate,consultation_24,personal_visit
Glossitis,Tongue inflammation,both,Internal Medicine,very_rare,acute_potentially_chronic,mild,self_care,video_teleconsultation
Goiter,Goiter,both,Endocrinology,very_rare,chronic,moderate,consultation,personal_visit
Gonorrhea,Gonorrhea,both,Venereology,rare,acute,mild,consultation,personal_visit
Goodpasture's syndrome,Goodpasture's syndrome,both,Rheumatology,very_rare,chronic_with_exacerbations,severe,consultation_24,personal_visit
Gout,Gout,both,Rheumatology,very_rare,chronic_with_exacerbations,mild,consultation,personal_visit
Granuloma annulare,Granuloma annulare,both,Dermatology,very_rare,chronic,mild,consultation,personal_visit
Granulomatosis with polyangiitis,Granulomatosis with polyangiitis,both,Rheumatology,very_rare,chronic_with_exacerbations,moderate,consultation,video_teleconsultation
Graves' disease,Graves' disease,both,Endocrinology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Greater trochanteric pain syndrome,Hip bursitis,both,Orthopedics,very_rare,chronic,mild,consultation,video_teleconsultation
Guillain-Barré syndrome,Guillain-Barré syndrome,both,Neurology,very_rare,chronic,severe,emergency,personal_visit
"Gynecomastia, unspecified",Enlargement of male breast,male,Endocrinology,very_rare,acute_potentially_chronic,mild,self_care,personal_visit
HELLP syndrome,HELLP syndrome,female,Gynecology,very_rare,acute,severe,emergency,personal_visit
Hand bones fracture,Broken hand bones,both,Traumatology,very_rare,acute,moderate,consultation_24,personal_visit
Hand osteoarthritis,Hand osteoarthritis,both,Orthopedics,very_rare,chronic,mild,consultation,personal_visit
Hangover,Hangover,both,Toxicology,very_rare,acute,mild,self_care,audio_teleconsultation
Hashimoto's thyroiditis,Hashimoto’s disease,both,Endocrinology,rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Head and neck unspecified injury,Unspecified head and neck injury,both,Traumatology,rare,acute,moderate,consultation,personal_visit
"Hearing loss, unspecified",Unspecific hearing loss,both,Otorhinolaryngology,moderate,chronic,moderate,consultation,personal_visit
Heart valve disease,Heart valve disease,both,Cardiology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Heat and sun-related illness,Heat and sun-related illness,both,Other,very_rare,acute,severe,consultation_24,personal_visit
Heavy metal poisoning,Heavy metal poisoning,both,Toxicology,very_rare,acute,severe,emergency_ambulance,personal_visit
Hemochromatosis,Hemochromatosis,both,Hematology,very_rare,chronic_with_exacerbations,moderate,consultation,audio_teleconsultation
Hemolytic anemia,Hemolytic anemia,both,Hematology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Hemolytic-uremic syndrome,Hemolytic-uremic syndrome,both,Nephrology,very_rare,acute,severe,emergency,personal_visit
Hemophagocytic lymphohistiocytosis,Hemophagocytic lymphohistiocytosis,both,Hematology,very_rare,acute_potentially_chronic,severe,emergency,personal_visit
Hemophilia,Hemophilia,male,Hematology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Hemorrhagic anemia,Acute anemia,both,Hematology,very_rare,acute_potentially_chronic,moderate,consultation_24,personal_visit
Hemorrhagic stroke,Hemorrhagic stroke,both,Neurology,very_rare,acute,severe,emergency_ambulance,personal_visit
Hemorrhoids,Hemorrhoids,both,Gastroenterology,rare,chronic_with_exacerbations,mild,self_care,personal_visit
Henoch-Schönlein purpura,Henoch-Schönlein vasculitis,both,Rheumatology,very_rare,acute,moderate,consultation_24,personal_visit
Hepatic abscess,Hepatic abscess,both,Surgery,very_rare,chronic,severe,consultation_24,personal_visit
Hepatic encephalopathy,Hepatic encephalopathy,both,Gastroenterology,very_rare,chronic_with_exacerbations,severe,emergency,personal_visit
Hepatitis A,Hepatitis A,both,Infectiology,very_rare,acute,moderate,consultation_24,personal_visit
Hepatitis B,Hepatitis B,both,Infectiology,very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
Hepatitis C,Hepatitis C,both,Infectiology,very_rare,acute_potentially_chronic,severe,consultation,audio_teleconsultation
Herbicide poisoning,Herbicide poisoning,both,Toxicology,very_rare,acute,severe,emergency,personal_visit
Herpangina,Herpangina,both,Otorhinolaryngology,very_rare,acute,mild,consultation,personal_visit
Heterochromia,Different eye colours,both,Ophthalmology,common,chronic,mild,self_care,personal_visit
High altitude sickness,High altitude sickness,both,Other,very_rare,acute,moderate,emergency,personal_visit
Hip contusion,Hip contusion,both,Traumatology,very_rare,acute,mild,self_care,video_teleconsultation
Hip dislocation,Dislocated hip,both,Traumatology,very_rare,acute,moderate,consultation_24,personal_visit
Hip osteoarthritis,Hip osteoarthritis,both,Orthopedics,very_rare,chronic,mild,consultation,personal_visit
Hodgkin lymphoma,Hodgkin's disease,both,Hematology,very_rare,chronic,severe,consultation,personal_visit
Hookworm infection,Hookworm disease,both,Infectiology,very_rare,acute_potentially_chronic,mild,consultation_24,audio_teleconsultation
Horner's syndrome,Horner's syndrome,both,Neurology,very_rare,chronic,moderate,consultation_24,personal_visit
Humerus fracture,Broken arm,both,Traumatology,very_rare,acute,moderate,emergency,personal_visit
Hydrocele testis,Hydrocele testis,male,Urology,rare,chronic,mild,consultation,personal_visit
Hyperemesis gravidarum,Hyperemesis gravidarum,female,Gynecology,very_rare,acute_potentially_chronic,moderate,consultation,personal_visit
Hyperparathyroidism,Hyperparathyroidism,both,Endocrinology,rare,chronic_with_exacerbations,severe,consultation,personal_visit
Hyperprolactinemia,Hyperprolactinemia,both,Endocrinology,moderate,chronic,mild,consultation,personal_visit
Hypertension,High blood pressure,both,Cardiology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Hypertensive crisis,Hypertensive crisis,both,Cardiology,very_rare,acute,severe,consultation_24,personal_visit
Hypertensive encephalopathy,Hypertensive encephalopathy,both,Cardiology,very_rare,acute,severe,emergency_ambulance,personal_visit
Hyperthyroidism,Hyperthyroidism,both,Endocrinology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Hypoglycemia,Hypoglycemia,both,Internal Medicine,very_rare,acute,moderate,emergency,personal_visit
Hypoparathyroidism,Hypoparathyroidism,both,Endocrinology,rare,chronic_with_exacerbations,severe,consultation,personal_visit
Hypopituitarism,Hypopituitarism,both,Endocrinology,very_rare,chronic,moderate,consultation,personal_visit
Hypotension,Hypotension,both,Internal Medicine,moderate,chronic_with_exacerbations,mild,self_care,personal_visit
Hypothyroidism,Hypothyroidism,both,Endocrinology,rare,chronic,moderate,consultation,video_teleconsultation
Hypovolemic shock,Hypovolemic shock,both,Other,very_rare,acute,severe,emergency_ambulance,personal_visit
Idiopathic pulmonary fibrosis,Idiopathic pulmonary fibrosis,both,Pulmonology,very_rare,chronic,severe,consultation,personal_visit
Impacted wisdom tooth,Impacted wisdom tooth,both,Dentistry,moderate,acute,mild,consultation,personal_visit
Impetigo contagiosa,Impetigo,both,Dermatology,moderate,acute,mild,consultation,personal_visit
Improper use of sleeping pills and sedatives,Improper use of sleeping pills and sedatives,both,Toxicology,very_rare,acute_potentially_chronic,moderate,consultation,personal_visit
Incarcerated inguinal hernia,Incarcerated inguinal hernia,both,Surgery,very_rare,acute,severe,emergency,personal_visit
Increased intracranial pressure,Increased intracranial pressure,both,Neurology,very_rare,acute_potentially_chronic,severe,emergency_ambulance,personal_visit
Infectious arthritis,Infectious arthritis,both,Rheumatology,very_rare,acute_potentially_chronic,moderate,consultation_24,personal_visit
Infectious mononucleosis,Mononucleosis,both,Infectiology,rare,acute,moderate,consultation_24,personal_visit
Infective endocarditis,Infective endocarditis,both,Cardiology,very_rare,acute,severe,consultation_24,personal_visit
Influenza,Flu,both,Infectiology,rare,acute,moderate,consultation,audio_teleconsultation
Ingrown fingernail,Ingrown fingernail,both,Surgery,rare,acute_potentially_chronic,mild,consultation,personal_visit
Ingrown toenail,Ingrown toenail,both,Surgery,moderate,acute_potentially_chronic,mild,consultation,personal_visit
Inguinal hernia,Inguinal hernia,both,Surgery,rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Insecticide poisoning,Insecticide poisoning,both,Toxicology,very_rare,acute,severe,emergency_ambulance,personal_visit
Insomnia,Insomnia,both,Psychiatry,moderate,chronic_with_exacerbations,mild,consultation,audio_teleconsultation
Insulinoma,Insulinoma,both,Endocrinology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Intercostal neuralgia,Intercostal neuralgia,both,Neurology,moderate,acute,mild,self_care,personal_visit
Intestinal obstruction,Intestinal obstruction,both,Surgery,very_rare,acute,severe,emergency,personal_visit
Intra-amniotic infection,Intra-amniotic infection,female,Gynecology,very_rare,acute,severe,emergency,personal_visit
Iron deficiency anemia,Iron deficiency anemia,both,Hematology,rare,acute_potentially_chronic,moderate,consultation,audio_teleconsultation
Irritable bowel syndrome,Irritable bowel syndrome,both,Gastroenterology,moderate,chronic_with_exacerbations,mild,consultation,audio_teleconsultation
Ischemic stroke,Ischemic stroke,both,Neurology,very_rare,acute_potentially_chronic,severe,emergency_ambulance,personal_visit
"Joint pain, unspecified",Unspecific joint pain,both,Orthopedics,common,acute,mild,self_care,text_teleconsultation
Keloid,Keloid,both,Dermatology,very_rare,chronic,moderate,consultation,personal_visit
Keratitis,Keratitis,both,Ophthalmology,rare,acute_potentially_chronic,moderate,consultation,personal_visit
Klüver-Bucy bitemporal syndrome,Klüver-Bucy bitemporal syndrome,both,Neurology,very_rare,chronic,severe,consultation,personal_visit
Knee bursitis,Knee bursitis,both,Orthopedics,very_rare,acute_potentially_chronic,mild,consultation,personal_visit
Knee dislocation,Dislocated knee,both,Traumatology,very_rare,acute,severe,emergency,personal_visit
Knee osteoarthritis,Knee osteoarthritis,both,Orthopedics,very_rare,chronic,mild,consultation,personal_visit
Korsakoff's syndrome,Korsakoff's syndrome,both,Psychiatry,very_rare,chronic,severe,consultation,personal_visit
Labour,Labour,female,Gynecology,very_rare,acute,moderate,emergency,personal_visit
Labyrinthitis,Inflammation of the inner ear,both,Otorhinolaryngology,very_rare,acute,moderate,consultation_24,personal_visit
Lactational mastitis,Breast inflammation associated with lactation,female,Gynecology,very_rare,acute_potentially_chronic,moderate,consultation_24,personal_visit
Lactose intolerance,Lactose intolerance,both,Gastroenterology,moderate,chronic,mild,self_care,audio_teleconsultation
Laryngeal cancer,Laryngeal cancer,both,Otorhinolaryngology,very_rare,chronic,severe,consultation,personal_visit
Lassa fever,Lassa fever,both,Infectiology,very_rare,acute,severe,emergency,personal_visit
Lateral medullary syndrome,Lateral medullary syndrome,both,Neurology,very_rare,chronic,moderate,consultation_24,personal_visit
Left-sided heart failure,Left-sided heart failure,both,Cardiology,very_rare,chronic_with_exacerbations,severe,consultation_24,personal_visit
Legionellosis,Legionellosis,both,Infectiology,very_rare,acute,severe,consultation_24,personal_visit
Leptospirosis,Leptospirosis,both,Infectiology,very_rare,acute,moderate,consultation,audio_teleconsultation
Leriche's syndrome,Leriche's syndrome,both,Angiology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Leukoplakia,Leukoplakia,both,Dentistry,very_rare,chronic,mild,consultation,video_teleconsultation
"Limb injury, unspecified location",Limb injury of unspecified location,both,Traumatology,very_rare,acute,moderate,consultation,video_teleconsultation
Limbic encephalitis,Limbic encephalitis,both,Neurology,very_rare,chronic_with_exacerbations,severe,emergency,personal_visit
Lip injury,Lip injury,both,Other,rare,acute,mild,self_care,video_teleconsultation
Lipoma,Lipoma,both,Surgery,moderate,chronic,mild,consultation,personal_visit
Liver cancer,Liver cancer,both,Gastroenterology,very_rare,chronic,severe,consultation,personal_visit
Lower leg contusion,Lower leg contusion,both,Traumatology,very_rare,acute,mild,self_care,video_teleconsultation
"Lower limb injury, unspecified location",Lower limb injury of unspecified location,both,Traumatology,very_rare,acute,mild,consultation,personal_visit
Lumbar vertebra fracture,Broken lumbar spine,both,Traumatology,very_rare,acute,moderate,emergency,personal_visit
Lung cancer,Lung cancer,both,Pulmonology,very_rare,chronic,severe,consultation,personal_visit
Lyme disease,Lyme disease,both,Infectiology,rare,acute_potentially_chronic,moderate,consultation_24,audio_teleconsultation
Major depressive disorder,Depression,both,Psychiatry,moderate,chronic_with_exacerbations,severe,consultation,video_teleconsultation
Major skin injury,Major wound,both,Traumatology,very_rare,acute,moderate,consultation,personal_visit
Malaria,Malaria,both,Infectiology,very_rare,acute_potentially_chronic,severe,emergency,personal_visit
Malnutrition,Poor nutrition,both,Internal Medicine,very_rare,chronic,mild,consultation,personal_visit
Mandible fracture,Broken jaw,both,Traumatology,very_rare,acute,severe,emergency,personal_visit
Manic syndrome,Mania,both,Psychiatry,rare,acute,severe,consultation_24,video_teleconsultation
Mastocytosis,Mastocytosis,both,Hematology,very_rare,chronic_with_exacerbations,severe,consultation,audio_teleconsultation
Measles,Measles,both,Infectiology,very_rare,acute,moderate,consultation_24,personal_visit
Mechanical back pain,Back strain,both,Orthopedics,moderate,acute_potentially_chronic,mild,self_care,video_teleconsultation
Mediastinitis,Inflammation of mediastinum,both,Pulmonology,very_rare,acute,severe,emergency,personal_visit
Medulloblastoma,Medulloblastoma,both,Neurology,very_rare,chronic,severe,consultation,personal_visit
Melanoma,Melanoma,both,Dermatology,very_rare,chronic,severe,consultation,personal_visit
Meteorosensitivity and meteoropathy,Meteorosensitivity and meteoropathy,both,Other,very_rare,chronic_with_exacerbations,mild,self_care,personal_visit
Methanol poisoning,Methyl alcohol poisoning,both,Toxicology,very_rare,acute_potentially_chronic,severe,emergency,personal_visit
Microscopic polyangiitis,Microscopic artery inflammation,both,Rheumatology,very_rare,chronic,moderate,consultation,personal_visit
Migraine,Migraine,both,Neurology,moderate,chronic_with_exacerbations,mild,consultation,audio_teleconsultation
Milk-alkali syndrome,Milk-alkali syndrome,both,Gastroenterology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
"Minor head injury, unspecified",Mild head injury,both,Traumatology,very_rare,acute,moderate,self_care,video_teleconsultation
Minor skin injury,Minor wound,both,Traumatology,very_rare,acute,mild,self_care,video_teleconsultation
Mixed connective tissue disease,Mixed connective tissue disease,both,Rheumatology,very_rare,chronic,moderate,consultation,personal_visit
Molluscum contagiosum,Molluscum contagiosum,both,Dermatology,rare,acute,mild,consultation,personal_visit
Mononeuritis multiplex,Inflammation of multiple individual nerves,both,Neurology,very_rare,chronic,moderate,consultation,personal_visit
Motion sickness,Travel sickness,both,Pediatrics,moderate,chronic_with_exacerbations,mild,self_care,text_teleconsultation
Multiple sclerosis,Multiple sclerosis,both,Neurology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Mumps,Inflammation of parotid salivary glands,both,Infectiology,very_rare,acute,mild,consultation_24,personal_visit
Muscular dystrophy,Muscular dystrophy,male,Genetics,very_rare,chronic,moderate,consultation,personal_visit
Myasthenia gravis,Progressive muscle weakness,both,Neurology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Myelofibrosis,Replacement of bone marrow with scar tissue,both,Hematology,very_rare,chronic,severe,consultation,audio_teleconsultation
Myocardial infarction,Heart attack,both,Cardiology,very_rare,acute,severe,emergency_ambulance,personal_visit
Myocarditis,Inflammation of heart muscle,both,Cardiology,very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
Ménière's disease,Ménière's disease,both,Otorhinolaryngology,very_rare,chronic_with_exacerbations,mild,consultation,personal_visit
Ménétrier's disease,Ménétrier's disease,both,Gastroenterology,very_rare,chronic,moderate,consultation,personal_visit
Nail injury,Nail injury,both,Traumatology,very_rare,acute,mild,self_care,personal_visit
Nasal polyps,Nasal polyps,both,Otorhinolaryngology,moderate,chronic,mild,consultation,personal_visit
Nasal septum deviation,Nasal septum deviation,both,Otorhinolaryngology,moderate,chronic,mild,consultation,personal_visit
Nasolacrimal duct obstruction,Blocked tear duct,both,Ophthalmology,very_rare,acute,mild,self_care,personal_visit
Nausea and vomiting in pregnancy,Morning sickness,female,Gynecology,very_rare,acute_potentially_chronic,mild,self_care,audio_teleconsultation
Nephrolithiasis,Kidney stones,both,Urology,rare,chronic_with_exacerbations,moderate,consultation_24,personal_visit
Nephrotic syndrome,Nephrotic syndrome,both,Nephrology,very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
Neurasthenia,Neurasthenia,both,Psychiatry,very_rare,chronic_with_exacerbations,mild,consultation,audio_teleconsultation
Nicotine dependence,Nicotine dependence,both,Psychiatry,rare,chronic,mild,consultation,audio_teleconsultation
Non-Hodgkin lymphoma,Non-Hodgkin lymphoma,both,Hematology,very_rare,chronic,severe,consultation_24,personal_visit
Non-alcoholic fatty liver disease,Non-alcoholic fatty liver disease,both,Gastroenterology,rare,chronic,mild,consultation,personal_visit
Non-allergic non-infectious rhinitis,Nonallergic rhinitis,both,Otorhinolaryngology,moderate,chronic,mild,self_care,text_teleconsultation
Non-lactational mastitis,Inflammation of the breast,female,Surgery,very_rare,acute_potentially_chronic,mild,consultation_24,personal_visit
Non-melanoma skin cancer,Non-melanoma skin carcinoma,both,Dermatology,very_rare,chronic,severe,consultation,personal_visit
Non-traumatic vertebral fracture,Compression fracture of the spine,both,Orthopedics,very_rare,acute_potentially_chronic,severe,consultation,personal_visit
Nose injury,Nose injury,both,Traumatology,very_rare,acute,mild,consultation,video_teleconsultation
Obsessive-compulsive disorder,Obsessive-compulsive disorder,both,Psychiatry,rare,chronic_with_exacerbations,moderate,consultation,video_teleconsultation
Obstructive jaundice,Obstructive jaundice,both,Gastroenterology,rare,acute_potentially_chronic,moderate,emergency,personal_visit
Obstructive sleep apnea,Sleep apnea,both,Pulmonology,rare,chronic,moderate,consultation,audio_teleconsultation
Oculomotor nerve palsy,Oculomotor nerve palsy,both,Ophthalmology,very_rare,chronic,mild,consultation,personal_visit
Olecranon bursitis,Olecranon bursitis,both,Orthopedics,moderate,chronic,mild,consultation,personal_visit
Onychomycosis,Fungal nail infection,both,Dermatology,common,chronic,mild,self_care,personal_visit
Open-angle glaucoma,Open-angle glaucoma,both,Ophthalmology,very_rare,chronic,moderate,consultation,personal_visit
Opioid withdrawal syndrome,Opioid withdrawal syndrome,both,Toxicology,very_rare,acute,severe,consultation_24,personal_visit
Oral candidiasis,Oral thrush,both,Internal Medicine,rare,acute_potentially_chronic,mild,consultation,video_teleconsultation
Oral herpes,Cold sore,both,Dermatology,moderate,acute_potentially_chronic,mild,self_care,video_teleconsultation
Orchitis and epididymitis,Inflammation of testes and epididymis,male,Urology,rare,acute,moderate,consultation_24,personal_visit
Organic mental disorder,Organic mental disorder,both,Psychiatry,very_rare,chronic,mild,consultation,personal_visit
Osteomalacia,Osteomalacia,both,Internal Medicine,very_rare,chronic,moderate,consultation,audio_teleconsultation
Osteomyelitis,Bone infection,both,Orthopedics,very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
Osteoporosis,Osteoporosis,both,Rheumatology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Otitis externa,Inflammation of the external ear,both,Otorhinolaryngology,moderate,acute_potentially_chronic,mild,consultation,personal_visit
Ovarian cancer,Ovarian cancer,female,Gynecology,very_rare,chronic,severe,consultation,personal_visit
Paget's disease of bone,Paget's disease of bone,both,Rheumatology,very_rare,chronic,moderate,consultation,personal_visit
Painful ovulation,Painful ovulation,female,Gynecology,rare,chronic_with_exacerbations,mild,self_care,text_teleconsultation
Pancoast tumor,Pancoast tumor,both,Pulmonology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Paranoid schizophrenia,Paranoid schizophrenia,both,Psychiatry,rare,chronic_with_exacerbations,severe,consultation_24,video_teleconsultation
Paraphimosis,Paraphimosis,male,Urology,rare,acute_potentially_chronic,severe,emergency,personal_visit
Paronychia,Paronychia,both,Surgery,moderate,acute_potentially_chronic,mild,consultation,personal_visit
Paroxysmal nocturnal hemoglobinuria,Paroxysmal nocturnal hemoglobinuria,both,Hematology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Patella fracture,Broken kneecap,both,Traumatology,very_rare,acute,moderate,consultation_24,personal_visit
Patellofemoral pain syndrome,Runner's knee,both,Orthopedics,moderate,chronic,mild,consultation,personal_visit
Pediculosis capitis,Head lice,both,Infectiology,rare,acute_potentially_chronic,mild,self_care,video_teleconsultation
Pelvic inflammatory disease,Pelvic inflammatory disease,female,Gynecology,rare,acute,severe,consultation_24,personal_visit
Pelvic organ prolapse,Uterine prolapse,female,Gynecology,rare,chronic,mild,consultation,personal_visit
Pelvis fracture,Broken pelvis,both,Traumatology,very_rare,acute,severe,emergency,personal_visit
Penetrating abdominal trauma,Penetrating stomach trauma,both,Traumatology,very_rare,acute,severe,emergency_ambulance,personal_visit
Peptic ulcer,Peptic ulcer disease,both,Gastroenterology,rare,chronic_with_exacerbations,mild,consultation,personal_visit
Pericarditis,Pericarditis,both,Cardiology,very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
Periodontitis,Gum disease,both,Dentistry,moderate,chronic,mild,consultation,personal_visit
Periorbital cellulitis,Periorbital cellulitis,both,Ophthalmology,very_rare,acute,moderate,consultation_24,personal_visit
Peripheral vascular disease,Peripheral arterial disease,both,Angiology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Peritonitis,Peritonitis,both,Surgery,very_rare,acute,severe,emergency,personal_visit
Peritonsillar abscess,Quinsy,both,Otorhinolaryngology,very_rare,acute,severe,emergency,personal_visit
Pernicious anemia,Pernicious anemia,both,Hematology,very_rare,chronic,mild,consultation,audio_teleconsultation
Peroneal mononeuropathy,Peroneal neuropathy,both,Orthopedics,rare,chronic,mild,consultation,personal_visit
Pertussis,Pertussis,both,Infectiology,very_rare,acute,moderate,consultation_24,personal_visit
Pheochromocytoma,Pheochromocytoma,both,Endocrinology,very_rare,chronic_with_exacerbations,severe,consultation_24,personal_visit
Phimosis,Phimosis,male,Urology,rare,chronic,mild,consultation,personal_visit
Physical injury of unknown location,Physical injury of unknown location,both,Traumatology,very_rare,acute,severe,consultation,personal_visit
Pilonidal cyst,Pilonidal cyst,both,Surgery,very_rare,chronic_with_exacerbations,mild,consultation,personal_visit
Pituitary prolactin releasing adenoma,Pituitary prolactin releasing adenoma,both,Endocrinology,very_rare,chronic,severe,consultation,personal_visit
Pituitary tumor,Pituitary tumor,both,Endocrinology,rare,chronic,severe,consultation,personal_visit
Pityriasis rosea,Pityriasis rosea,both,Dermatology,moderate,acute,mild,consultation,personal_visit
Placenta previa,Placenta previa,female,Gynecology,very_rare,acute,severe,emergency,personal_visit
Placental abruption,Premature separation of placenta,female,Gynecology,very_rare,acute,severe,emergency,personal_visit
Plague,Plague,both,Infectiology,very_rare,acute,severe,emergency,personal_visit
Plugged milk duct,Plugged milk duct,female,Gynecology,very_rare,acute,mild,self_care,personal_visit
Pneumocystis jirovecii pneumonia,Pneumocystis jirovecii pneumonia,both,Pulmonology,very_rare,acute,severe,consultation_24,personal_visit
Pneumonia,Pneumonia,both,Internal Medicine,rare,acute,severe,consultation_24,personal_visit
Pneumothorax,Pneumothorax,both,Pulmonology,rare,acute,severe,emergency_ambulance,personal_visit
Polyarteritis nodosa,Polyarteritis nodosa,both,Rheumatology,very_rare,chronic,severe,consultation,personal_visit
Polycystic ovary syndrome,Polycystic ovary syndrome,female,Endocrinology,rare,chronic,moderate,consultation,personal_visit
Polycythemia vera,Erythremia,both,Hematology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Polymyositis,Polymyositis,both,Rheumatology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Portal hypertension,Portal hypertension,both,Internal Medicine,very_rare,chronic,severe,consultation_24,personal_visit
Post-COVID-19 syndrome,Post-COVID-19 syndrome,both,Infectiology,very_rare,chronic,moderate,consultation,personal_visit
Post-concussion syndrome,Post-concussion syndrome,both,Neurology,very_rare,chronic,moderate,consultation,personal_visit
Post-traumatic stress disorder,Post-traumatic stress disorder,both,Psychiatry,very_rare,chronic_with_exacerbations,moderate,consultation,video_teleconsultation
Postinfectious cough,Postinfectious cough,both,Pulmonology,very_rare,acute,mild,self_care,personal_visit
Postpartum depression,Post-pregnancy depression,female,Psychiatry,very_rare,acute_potentially_chronic,severe,consultation_24,video_teleconsultation
Posttraumatic seizures,Posttraumatic seizures,both,Neurology,very_rare,acute,moderate,emergency,personal_visit
Pre-eclampsia,Pre-eclampsia,female,Gynecology,very_rare,acute,severe,emergency_ambulance,personal_visit
